Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
1098184,"8,399,758,011","1,462,731,602",900,"8,399,758,011","1,462,731,602"
1098187,"8,401,944,024","1,462,731,602",900,"8,401,944,024","1,462,731,602"
1098200,"8,414,758,011","1,462,731,602",900,"8,414,758,011","1,462,731,602"
1098203,"8,416,944,024","1,462,731,602",900,"8,416,944,024","1,462,731,602"
1098214,"8,429,758,011","1,462,731,602",900,"8,429,758,011","1,462,731,602"
1098217,"8,431,944,024","1,462,731,602",900,"8,431,944,024","1,462,731,602"
1116230,"9,207,603,875","1,130,282,534",900,"9,207,603,875","1,130,282,534"
1116233,"9,205,417,863","1,130,282,534",900,"9,205,417,863","1,130,282,534"
1116248,"9,222,423,875","1,130,282,534",900,"9,222,423,875","1,130,282,534"
1116251,"9,220,237,863","1,130,282,534",900,"9,220,237,863","1,130,282,534"
1118070,"9,136,237,606","1108936,12",900,"9,136,237,606","1108936,12"
1118073,"9,138,423,619","1108936,12",900,"9,138,423,619","1108936,12"
1118076,"9,151,237,606","1108936,12",900,"9,151,237,606","1108936,12"
1118079,"9,153,423,619","1108936,12",900,"9,153,423,619","1108936,12"
1118082,"9,166,237,606","1108936,12",900,"9,166,237,606","1108936,12"
1118085,"9,168,423,619","1108936,12",900,"9,168,423,619","1108936,12"
